Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
incia-lip-balm-coconut,INCIA Lip Balm Coconut,"<p>INCIA Lip Balm Coconut — 100% Natural Moisturising Lip Balm with Tropical Coconut & Shea ButterIndulge your lips in the tropical scent and nourishing power of INCIA Lip Balm Coconut. Made with 100% natural ingredients — shea butter, coconut oil, beeswax, castor oil and apricot kernel oil — this luxurious lip balm delivers rich, long-lasting moisture while protecting lips from harsh weather and environmental damage. The delicate natural coconut fragrance makes every application a pleasure.</p>
<h3>Key Benefits</h3><ul>
  <li>Shea butter — intensively nourishes, softens and protects lips</li>
  <li>Coconut oil — naturally antibacterial, deeply hydrating and conditioning</li>
  <li>Apricot kernel oil — lightweight oil rich in vitamins for lip skin regeneration</li>
  <li>Castor oil — seals in moisture and gives a natural glossy finish</li>
  <li>Beeswax — creates a gentle protective barrier against wind and cold</li>
  <li>Natural coconut fragrance — tropical, uplifting scent</li>
  <li>Free from paraffin, synthetic fragrances, parabens and artificial colours</li>
  <li>Ideal for dry, chapped lips in cold or dry weather — great for UK winters Why Choose INCIA Natural Lip Balm?The UK's cold, windy weather can be tough on lips. INCIA Lip Balm Coconut provides genuine, long-lasting nourishment rather than just a temporary film — meaning your lips stay soft all day without constant reapplication</li>
</ul>
<p><em>Available in 6g stick.</em></p>",INCIA,Beauty & Personal Care,Personal Care,lip-balm,TRUE,MINC-000014,5.95,,,,TRUE,TRUE,,,active
incia-lip-balm-orange,INCIA Lip Balm Orange,"<p>INCIA Lip Balm Orange — 100% Natural Moisturising Lip Balm with Orange Oil & Shea Butter Keep your lips soft, nourished and protected with INCIA Lip Balm Orange. Made with 100% natural ingredients — including shea butter, coconut oil, castor oil, rosehip oil and vitamin E — this luxurious lip balm deeply moisturises and protects lips against dryness, cracking and environmental damage. The natural orange oil gives a refreshing, uplifting scent without any synthetic fragrance.</p>
<h3>Key Benefits</h3><ul>
  <li>Shea butter — rich in vitamins A and E, intensively nourishes and softens lips</li>
  <li>Coconut oil — antibacterial and deeply moisturising</li>
  <li>Castor oil — seals in moisture and keeps lips glossy</li>
  <li>Rosehip oil — supports lip skin regeneration with natural vitamin C</li>
  <li>Vitamin E — antioxidant protection and healing</li>
  <li>Orange oil — natural, refreshing citrus fragrance</li>
  <li>Free from paraffin, synthetic fragrances, parabens and artificial colours</li>
  <li>Suitable for all ages including sensitive skin Why Choose INCIA Natural Lip Balm?Many popular lip balms contain paraffin (mineral oil) and synthetic additives that can worsen lip dryness over time. INCIA's 100% natural blend of oils and butters provides genuine, lasting nourishment — keeping lips soft and healthy rather than creating dependency on constant reapplication</li>
</ul>
<p><em>Available in 6g stick.</em></p>",INCIA,Beauty & Personal Care,Personal Care,lip-balm,TRUE,MINC-000011,5.95,,,,TRUE,TRUE,,,active
incia-natural-baby-kids-shampoo-without-sulfates-and-parabens,INCIA Natural Baby & Kids Shampoo without Sulfates and Parabens,"<p>INCIA Natural Baby & Kids Shampoo — Sulphate-Free, Paraben-Free Shampoo for Delicate Hair Give your little one's hair the gentle care it deserves with INCIA Natural Baby & Kids Shampoo. This 100% natural, sulphate-free shampoo is specially formulated for babies and children's delicate scalps — cleansing gently without disrupting the skin's natural microbiome. Free from sulphates, parabens, synthetic fragrances and harsh chemicals, it can also be used as a gentle body wash.</p>
<h3>Key Benefits</h3><ul>
  <li>Sulphate-free and paraben-free — safe for babies from newborn age</li>
  <li>Plant-based surfactants (decyl glucoside, lauryl glucoside) — extremely gentle cleansing</li>
  <li>Gel formula for easy dosing — no waste, precise application</li>
  <li>Compatible with the skin's natural flora — does not disrupt the scalp microbiome</li>
  <li>Soothes and nourishes dry, flaky scalps</li>
  <li>Can be used as both shampoo and gentle body wash</li>
  <li>Free from synthetic fragrances, mineral oils and artificial colours</li>
  <li>Cruelty-free and suitable for sensitive and eczema-prone skin Why Choose INCIA Baby & Kids Shampoo?Many children's shampoos labelled ""gentle"" or ""tear-free"" still contain sulphates that strip the scalp of natural oils and synthetic fragrances that can sensitise young skin. INCIA uses only plant-derived cleansers that work with the skin's natural balance — leaving hair clean and scalp healthy without the harmful residue. The ideal daily shampoo for babies and children with sensitive or dry scalps</li>
</ul>
<p><em>Available in 275ml.</em></p>",INCIA,Beauty & Personal Care,Baby & Pregnancy,"baby, personal-care",TRUE,MINC-000106,11.00,,,,TRUE,TRUE,,,active
incia-natural-baby-oil,INCIA Natural Baby Oil,"<p>INCIA Natural Baby Oil is a 100% natural, hypoallergenic oil specially formulated for newborns and babies with sensitive skin. Made from a blend of evening primrose, calendula, and apricot kernel oils — all cold-pressed for maximum potency — this gentle baby oil nourishes, moisturises and protects delicate skin without any harsh chemicals, parabens or synthetic fragrances.</p>
<h3>Key Benefits</h3><ul>
  <li>- Deeply moisturising and nourishing for newborn and baby skin- Hypoallergenic and dermatologically tested — safe for sensitive skin- Soothes eczema, cradle cap, itching and irritation- Free from BHT, BHA and synthetic antioxidants- Suitable as bath oil, hair oil and massage oil- Vegan and cruelty-free</li>
</ul>
<h3>Why INCIA</h3><p>Why choose a natural baby oil?  A baby's skin is far more sensitive than adult skin and absorbs what is applied to it. Many baby oils on the market contain chemical fillers and synthetic ingredients. INCIA uses only natural plant-based oils and vitamin E (tocopherol) as a natural antioxidant — no synthetic substitutes. The rich blend of olive oil, calendula, sesame, wheat germ, sweet almond and jojoba oils creates a protective barrier on the skin while deeply nourishing from within. Perfect for daily baby massage, post-bath moisturising and soothing cradle cap on the scalp. Safe for babies, children and adults alike.</p>",INCIA,Beauty & Personal Care,Baby & Pregnancy,baby,TRUE,MINC-000033,10.00,,,,TRUE,TRUE,,,active
incia-natural-deodorant-for-dark-armpits,INCIA Natural Whitening Roll On Deodorant for Dark Armpits,"<p>INCIA Natural Whitening Roll On Deodorant for Dark Armpits is a 100% natural deodorant specially formulated to address dark underarm skin while providing effective, all-day odour protection. Dark armpits affect 1 in 3 people and are commonly caused by friction, shaving, tight clothing and excess dead skin cells — this formula tackles the cause naturally.</p>
<h3>Key Benefits</h3><ul>
  <li>- Natural deodorant without synthetic aluminium- Contains liquorice extract to help lighten and even out dark underarm skin- Antibacterial and nurturing formula- Keeps skin supple and promotes faster skin cell renewal- Does not clog pores- No stains on clothing- Free from parabens and synthetic fragrances- Cruelty-free and vegan How it works: The natural liquorice extract in this formula has been shown to help reduce skin darkening and even skin tone over time. Combined with the antibacterial properties of natural mineral salts, this roll-on deodorant neutralises odour-causing bacteria at the source without harsh chemicals. Regular use helps restore a more even, natural underarm skin tone. Suitable for all skin types including sensitive skin. For best results, apply on clean, dry underarms — ideally the evening before. 50ml roll-on</li>
</ul>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000080,5.95,,,,TRUE,TRUE,,,active
incia-natural-deodorant-for-sensitive-skin,INCIA Natural Deodorant for Sensitive Skin,"<p>INCIA Natural Deodorant for Sensitive Skin is a 100% natural roll-on deodorant specially formulated for those with sensitive or easily irritated underarms. Powered by potassium alum (a natural mineral salt) and soothing aloe vera, it neutralises odour-causing bacteria without blocking pores, leaving you feeling fresh all day.</p>
<h3>Key Benefits</h3><ul>
  <li>- Natural mineral salt (alum) — powerful antibacterial action without synthetic aluminium- Aloe vera soothes and hydrates sensitive underarm skin- Does not clog pores — allows natural perspiration- No stains on clothing- Safe to use during pregnancy and breastfeeding- Can be applied immediately after shaving- Free from alcohol, parabens and synthetic fragrances- Cruelty-free and vegan Why natural deodorant? Body odour is caused when sweat mixes with bacteria — not by sweat itself. Conventional deodorants often contain synthetic aluminium salts that block sweat glands entirely and can irritate sensitive skin. INCIA's alum-based formula works by creating an antibacterial environment that prevents odour at the source, without harsh chemicals. Aloe vera in this formula has anti-inflammatory and hydrating properties, making it ideal for skin that is prone to irritation from shaving or friction. For best results, apply the evening before on clean, dry underarms. 50ml roll-on</li>
</ul>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000081,5.95,,,,TRUE,TRUE,,,active
incia-natural-dishwashing-soap,INCIA Natural Dishwashing Soap,"<p>INCIA Natural Dishwashing Soap — Eco-Friendly, Skin-Kind Washing Up Liquid Wash up with confidence knowing your hands and your family's dishes are in safe hands. INCIA Natural Dishwashing Soap is a plant-based, biodegradable washing up liquid made with over 30% plant-derived soap from olive oil, coconut oil and castor oil. Free from harsh synthetic detergents, artificial fragrances and harmful chemicals, it cuts through grease effectively while being kind to your skin.</p>
<h3>Key Benefits</h3><ul>
  <li>Made with 30%+ plant-based soap — olive oil, coconut oil and castor oil</li>
  <li>Super-fat formula conditions and hydrates hands while washing up</li>
  <li>Prevents dry, cracked hands caused by conventional washing-up liquids</li>
  <li>Fragrance-free — no artificial scents, safe for sensitive skin</li>
  <li>Biodegradable and eco-friendly — better for you and the planet</li>
  <li>Safe for washing baby bottles, children's cups and feeding equipment</li>
  <li>No parabens, sulphates or synthetic preservatives Why Choose INCIA Natural Dishwashing Soap?Conventional washing up liquids strip the skin's natural oils and leave hands dry and irritated. INCIA's unique Super-Fat technology adds back moisture as you wash, protecting your skin barrier. Its natural, plant-derived formula is also completely safe for washing baby bottles and toddler crockery — giving you peace of mind with every wash</li>
</ul>
<p><em>Available in 500ml.</em></p>",INCIA,Beauty & Personal Care,Household,household,TRUE,MINC-000029,6.50,,,,TRUE,TRUE,,,active
incia-natural-foaming-hand-soap-for-kids,INCIA Natural Foaming Hand Soap for Kids,"<p>INCIA Natural Foaming Hand Soap for Kids — Gentle, Antibacterial & 100% Natural Make hand washing fun and safe for children with INCIA Natural Foaming Hand Soap for Kids. This delightful foaming soap is made from 100% natural, plant-derived ingredients — including coconut oil and olive oil — and is completely free from harsh chemicals, synthetic fragrances and parabens. The fun foam texture encourages kids to wash their hands properly while the gentle formula keeps little hands soft and moisturised.</p>
<h3>Key Benefits</h3><ul>
  <li>100% natural, plant-based foaming formula</li>
  <li>Naturally antibacterial thanks to coconut oil (lauric acid kills bacteria gently)</li>
  <li>Conditions and moisturises while washing — no dry or sore hands</li>
  <li>Free from synthetic fragrances, parabens, sulphates and artificial preservatives</li>
  <li>Cruelty-free and not tested on animals</li>
  <li>Suitable for children with sensitive skin or eczema</li>
  <li>Fun foam texture makes hand washing enjoyable for kids Why Choose INCIA Foaming Hand Soap for Kids?Children's hands need gentler care than adults. Most conventional hand soaps contain harsh surfactants that strip the skin of its natural moisture, leaving small hands dry and cracked. INCIA uses coconut oil as a natural antibacterial agent — its lauric acid content naturally combats bacteria without damaging young, delicate skin. Safe, effective and kind to nature too</li>
</ul>
<p><em>Available in 200ml.</em></p>",INCIA,Beauty & Personal Care,Baby & Pregnancy,baby,TRUE,MINC-000082,6.00,,,,TRUE,TRUE,,,active
incia-natural-hair-serum,INCIA Natural Hair Serum,"<p>INCIA Natural Hair Serum — 10 Miracle Oils for Stronger, Shinier Hair Transform your hair care routine with INCIA Natural Hair Serum, a 100% natural treatment enriched with 10 powerful botanical oils. Formulated to tackle hair loss, thinning, and dullness from root to tip, this lightweight serum nourishes the scalp, stimulates growth and leaves hair visibly stronger, shinier and more vibrant. Free from silicones, mineral oils and synthetic additives.</p>
<h3>Key Benefits</h3><ul>
  <li>10 natural oils in one — including olive, sweet almond, argan and more</li>
  <li>Helps combat hair loss and thinning with regular use</li>
  <li>Massaged into the scalp to nourish follicles and stimulate hair growth</li>
  <li>Adds brilliant shine and reduces frizz from root to tip</li>
  <li>Moisturises and volumises without weighing hair down</li>
  <li>Free from silicones, parabens, mineral oils and synthetic fragrances</li>
  <li>Suitable for all hair types — fine, thick, curly or colour-treated</li>
  <li>Cruelty-free and dermatologically tested Why Choose INCIA Natural Hair Serum?Most hair serums contain silicone that coats the hair shaft and gives temporary shine while blocking moisture absorption. INCIA's 100% natural oil blend works differently — it penetrates the hair fibre and scalp to provide genuine nourishment, support healthy hair growth and improve hair health from the inside out. A little goes a long way with this concentrated natural formula</li>
</ul>
<p><em>Available in 30ml.</em></p>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000116,10.45,,,,TRUE,TRUE,,,active
incia-natural-herbal-shampoo,INCIA Natural Herbal Shampoo 275ml,"<p>INCIA Natural Herbal Shampoo 275ml — 100% Natural Shampoo with 8 Plant & Herbal Extracts Nourish your scalp and hair from root to tip with INCIA Natural Herbal Shampoo. Enriched with 8 powerful plant and herbal extracts, this 100% natural, vegan shampoo cleanses thoroughly while promoting healthy hair growth, reducing hair loss and leaving hair visibly stronger and more vibrant. Free from silicones, synthetic conditioners, artificial fragrances and petrochemical derivatives.</p>
<h3>Key Benefits</h3><ul>
  <li>8 natural herbal extracts — nourish scalp and promote healthy hair growth</li>
  <li>Plant-based surfactants (coco-glucoside, lauryl glycoside) — gentle, effective cleansing</li>
  <li>Stimulates hair follicles and encourages thicker, fuller-looking hair</li>
  <li>Suitable for all hair types — fine, thick, curly, colour-treated or damaged</li>
  <li>Free from silicones, parabens, SLS/SLES, artificial fragrances and mineral oils</li>
  <li>Vegan and cruelty-free formula</li>
  <li>Biodegradable — kind to the environment Why Choose INCIA Natural Herbal Shampoo?Conventional shampoos often contain silicones and synthetic conditioners that temporarily coat the hair shaft, creating the illusion of shine while blocking true nourishment. INCIA's 100% natural formula uses plant-derived cleansers and real herbal extracts that work with your scalp's natural processes — strengthening hair over time, reducing breakage and supporting healthier hair growth without chemical build-up</li>
</ul>
<p><em>Available in 275ml.</em></p>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000061,9.00,,,,TRUE,TRUE,,,active
